event.uuid,event.classification,event.tlp,event.special_france,event.title.desensitized,event.reliability,event.description,event.date,event.apts,event.metadata,signature.uuid,signature.type,signature.description,signature.value,signature_component.uuid,signature_component.tlp,signature_component.type,signature_component.reliability,signature_component.metadata,signature_component.value,signature_component.description
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",e63dbf73-7e56-468a-a702-cdb01990440d,comment,,01/08/2020,e63dbf73-7e56-468a-a702-cdb01990440d,white,comment,Bonne,"cossi:relevantTimespan=""from""",01/08/2020,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",e3f3284a-e6fa-4020-9a45-44f31f828deb,domain-ip,,,ff92d0f2-28cc-4277-bb6d-1cdc5c2f7315,white,datetime,Bonne,,01/10/2020,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",e3f3284a-e6fa-4020-9a45-44f31f828deb,domain-ip,,,f2aa70f1-8c6a-4968-a3da-4bdb36fbc6a1,white,datetime,Bonne,,01/12/2020,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",e3f3284a-e6fa-4020-9a45-44f31f828deb,domain-ip,,,8ed8b9a2-f95e-47f2-b4ad-1739dd5939f7,white,ip-dst,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",45.179.89.37,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",e3f3284a-e6fa-4020-9a45-44f31f828deb,domain-ip,,,e8aa928b-30cc-4739-aa1d-f78364f618c7,white,domain,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",hanproud.com,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",77ea36fb-8bba-464b-86e3-d245b9881abb,domain-ip,,,690bd55c-c8ea-4c69-aa23-1f664a42ae70,white,datetime,Bonne,,15/02/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",77ea36fb-8bba-464b-86e3-d245b9881abb,domain-ip,,,74c06d8b-3d74-4cfa-b6cc-64b76260adf2,white,datetime,Bonne,,01/05/2021,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",77ea36fb-8bba-464b-86e3-d245b9881abb,domain-ip,,,f0816314-14bf-4349-84cf-272c9ba17443,white,ip-dst,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",139.99.167.177,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",77ea36fb-8bba-464b-86e3-d245b9881abb,domain-ip,,,c1b560f2-4279-40dc-b847-80fc0cf7ef7e,white,domain,Bonne,"kill-chain:Command and Control, kill-chain:Delivery",cbdnewsandreviews.net,
6181159d-d7e0-422f-b7f5-26cc0abe1822,NON-CLASSIFIEES,white,FALSE,[DZ-CERT] Campagnes d'hameçonnage du mode opératoire d'attaquants Nobelium,Bonne,Infrastructure de Commande et de Contrôle,02/11/2021,,"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne""",9df5a183-c151-48ad-aa4c-b7efa7a40163,domain-ip,,,c87fe1af-4133-4a8b-9fc9-a675fcf7c74c,white,datetime,Bonne,,15/02/2021,
